name,location,rating,description
Yallarent Burj Residences Apartment,"وسط مدينة دبي, دبي
– اعرض على الخارطة",ممتاز,تقع شقة Yalarent Burj Residences في قلب مدينة دبي، وتوفر إطلالات على المدينة. تقع نافورة دبي على بعد 1.7 كم من الشقة.
فندق رويال فالكون,"ديرة, دبي
– اعرض على الخارطة",نقاط التعليقات,يوفر فندق رويال فالكون وسائل راحة فاخرة تشمل نادي ليلي في الموقع وخدمة الواي فاي مجانًا في جميع المناطق، كما يقع على بعد دقائق سيراً على الأقدام من محطة مترو صلاح الدين وعبر الشارع من الريف مول وانصار...
Sunset View - Ocean Heights,"مرسى دبي‎, دبي
– اعرض على الخارطة",جيد جداً,يقع Sunset View - Ocean Heights في دبي على بعد 2.9 كم من الممشى في جميرا بيتش ريسيدينس ويوفر مسبح خارجي ومركز للياقة البدنية بالإضافة إلى مرافق الشواء، ويقع مكان الإقامة على بعد 7 كم من برج برج العرب،...
Citymax Hotel Al Barsha at the Mall,"البرشاء‎, دبي
– اعرض على الخارطة",جيد,يقدم فندق سيتيماكس البرشا في المول مكان إقامة عصري على الجانب الآخر من الشارع من مول الإمارات أحد أكبر المولات في العالم. وتقع حديقة شاطئ الجميرا على بعد 12 كم.
Suitelets - City Walk Boulevard 3BR,"الوصل‎, دبي
– اعرض على الخارطة",,يقع Suitelets - City Walk Boulevard 3BR في دبي على بعد 2.3 كم من مول سيتي ووك ويوفر مكان إقامة مكيف مع تراس وخدمة الواي فاي مجاناً، تقع هذه الشقة على بعد 2.8 كم من دبي مول وعلى بعد 3.1 كم من برج...
3BR in Palm w/Private Beach Access,"نخلة جميرا, دبي
– اعرض على الخارطة",,تقع هذه الشقة على بعد 6 كم من مول الإمارات في دبي، وتوفر خدمة الواي فاي المجانية وشرفة.
Frank Porter - 8 Boulevard Walk,"وسط مدينة دبي, دبي
– اعرض على الخارطة",,يقع Frank Porter - 8 Boulevard Walk في موقع جذاب في وسط مدينة دبي، ويتميز بمركز للياقة البدنية. يقع مكان الإقامة على بعد 1.7 كم من برج خليفة وعلى بعد 2.1 كم من دبي مول.
"Keysplease Modern Apartments JBR, Dubai","جميرا بيتش ريسيدينس, دبي
– اعرض على الخارطة",,تقع شقق كيزبليز مودرن في دبي، يوفر جميرا بيتش ريزيدنس دبي أماكن إقامة مع خدمة الواي فاي المجانية.
Goldstate Hotel,"بر دبي, دبي
– اعرض على الخارطة",جيد,يقع فندق غولد ستيت في دبي على بعد 3.2 كم من الجسر العائم، ويوفر خدمة واي فاي مجانية وخدمات الكونسيرج، كما يبعد مكان الإقامة مسافة 3.8 كم عن برواز دبي، وتبعد دبي جاردن جلو مسافة 3.9 كم عن الفندق.
شقق بسبوك رسدنسس - نورث رسيدنسس,"نخلة جميرا, دبي
– اعرض على الخارطة",جيد,يقع منتجع North Residences الفاخر والرائع على شاطئ البحر في جزيرة نخلة الجميرة، أكبر جزيرة اصطناعية في العالم. ويقع مول الإمارات على بعد 7 كم.
"R&H-3BR, Marina, Luxury, Sea Marina","مرسى دبي‎, دبي
– اعرض على الخارطة",,"يقع R&H-3BR, Marina, Sea Marina في دبي على بعد 1.5 كم من الممشى في جميرا بيتش ريسيدينس وعلى بعد 9 كم من برج برج العرب وعلى بعد 9 كم من معبد Gurunanak Darbar Sikh، كما يوفر مكان الإقامة خدمة الواي فاي..."
Lavender Hotel Deira by Gloria Hotels & Resorts,"ديرة, دبي
– اعرض على الخارطة",جيد,يقع فندق لافندر في وسط دبي وعلى بعد 7 إلى 10 دقائق سيراً على الأقدام من محطة مترو الرقة وعلى بعد أقل من 2 كم من مركز برجمان مول، وتشمل المرافق الترفيهية على مسبح على السطح مع تراس وكراسي استلقاء...
فندق دريم لاند,"ديرة, دبي
– اعرض على الخارطة",نقاط التعليقات,ويقع فندق دريم لاند في المنطقة المركزية من الديرة، على بعد أقل من 10 دقائق مشياً من محطة مترو الاتحاد ومحطة الرقة. غرفها المكيفة تقدم شرفات خاصة وأجهزة تلفزيون.
KeysPlease Holiday Homes - Three Bedroom Apartment Full Fountain View,"وسط مدينة دبي, دبي
– اعرض على الخارطة",,تقع هذه الشقة في دبي، وتحتوي على مسبح خارجي مفتوح على مدار السنة، كما يمكن للضيوف التمتع بخدمة الواي فاي المجانية، بالإضافة إلى مواقف سيارات خاصة في الموقع.
AT HOME - Dubai Marina Bay Central Tower 1 - Residential Apartment Marina View,"مرسى دبي‎, دبي
– اعرض على الخارطة",,يقع AT HOME - Dubai Marina Bay Central Tower في دبي على بعد 1.3 كم من الممشى في جميرا بيتش ريسيدينس، توفر 1 - Residential Apartment Marina View غرفة معيشة مع تلفزيون بشاشة مسطحة وخدمة الواي فاي...
Blue Ocean Holiday Homes - (Damac Heights ),"مرسى دبي‎, دبي
– اعرض على الخارطة",استثنائي,يقع Blue Ocean Holiday Homes - (Damac Heights) في منطقة مرسى دبي في دبي على بعد 3.4 كم من الممشى في جميرا بيتش ريسيدينس وعلى بعد 8 كم من برج برج العرب ويوفر تراس، وتتوفر خدمة الواي فاي المجانية.
فندق جلف ستار,"ديرة, دبي
– اعرض على الخارطة",نقاط التعليقات,يقع فندق Gulf Star في دبي ويضم غرفاً مفروشة ببساطة مع أرضيات مغطاة بالسجاد. كما يوفر خدمة الواي فاي مجاناً في جميع أنحاء مكان الإقامة. توفّر لكم كل غرفة مكيفة تلفزيون ذو شاشة مسطحة ومنطقة جلوس صغيرة.
Bravoway Cayan Tower in Dubai Marina - 4202,"مرسى دبي‎, دبي
– اعرض على الخارطة",جيد جداً,يقع Bravoway Cayan Tower في دبي مارينا - 4202 في دبي على بعد 2.8 كم من الممشى في جميرا بيتش ريسيدينس ويوفر مكان إقامة مع مسبح خارجي وخدمة الواي فاي مجاناً، كما يوفر مكان الإقامة إطلالات على البحيرة،...
شقق برنسس تاور- دبي مارينا - فاكيشن باى,"مرسى دبي‎, دبي
– اعرض على الخارطة",جيد,يقع Vacation Holiday Homes Princess Tower - Dubai Marina على بعد 5 دقائق سيرا على الأقدام من ممشى المرسى ويوفر شقق ذاتية الخدمة مع جيم ومسبح، وتتوفر خدمة الواي فاي مجانًا، ويقع مارينا مول على بعد 2...
Damac Maison Dubai Mall Street,"وسط مدينة دبي, دبي
– اعرض على الخارطة",جيد جداً,يقع داماك ميزون شارع دبي مول في شارع محمد بن زايد في وسط مدينة دبي، ويوفر أماكن إقامة عصرية ومسبح في الهواء الطلق ومركز للياقة البدنية، كما تتوفر خدمة الواي فاي.
5* Gorgeous Sea View Apartment,"جميرا بيتش ريسيدينس, دبي
– اعرض على الخارطة",ممتاز,تقع شقة 5* Gorgeous Sea View في دبي على بعد 1.5 كم من الممشى في جميرا بيتش ريسيدينس، وتوفر مكان إقامة مع خدمة الواي فاي المجانية وتكييف الهواء، يقع مكان الإقامة على بعد 8 كم من معبد Gurunanak Darbar...
Maison Privee - Concorde,"أبراج بحيرة جميرا, دبي
– اعرض على الخارطة",,يقع Maison Privee - Concorde في حي أبراج بحيرات جميرا في دبي على بعد 5 كم من الممشى في جميرا بيتش ريسيدينس وعلى بعد 7 كم من معبد Gurunanak Darbar Sikh وعلى بعد 14 كم من برج برج العرب، ويوفر خدمة الواي...
Green Future Holiday Homes - Discovery Garden,"ديسكفري جاردنز, دبي
– اعرض على الخارطة",,يقع Green Future Holiday Homes - Discovery Garden في حي حدائق ديسكفري في دبي على بعد 5 كم فقط من معبد Gurunanak Darbar Sikh، ويضم مسبح في الهواء الطلق وملعب تنس ومركز للياقة البدنية.
"Keysplease New Relaxing Beach Apt, Palm Jumeirah","نخلة جميرا, دبي
– اعرض على الخارطة",,"يقع Keysplease New Relaxing Beach Apt, Palm Jumeirah على بعد 5 كم من منتزه أكوافنتشر المائي وعلى بعد 9 كم من الممشى في جميرا بيتش ريسيدينس ويوفر مكان إقامة يقع في دبي، يقع مكان الإقامة على بعد 9 كم من..."
"Furnished Rentals - Concorde Tower, Jumeirah Lake Towers","أبراج بحيرة جميرا, دبي
– اعرض على الخارطة",,"يقع Furnished Rentals - Concorde Tower, Jumeirah Lake Towers في دبي على بعد 5 كم من الممشى في جميرا بيتش ريسيدينس وعلى بعد 7 كم من معبد Gurunanak Darbar Sikh ويوفر تكييف الهواء، ويقع في مبنى يعود لعام..."
Master Room For One Girl 301.3,"مرسى دبي‎, دبي
– اعرض على الخارطة",,تقع Master Room على بعد 2.6 كم من الممشى في دبي في دبي، يوفر For One Girl 301.3 أماكن إقامة مع مطبخ. يمكن للضيوف المقيمين في مكان الإقامة هذا الوصول إلى شرفة.
Frank Porter – Scala Tower,"الخليج التجاري‎, دبي
– اعرض على الخارطة",رائع,يقع Frank Porter – Scala Tower في مدينة دبي، على بُعد 6 كم من أكواريوم دبي وحديقة الحيوانات تحت الماء و6 كم من مول دبي، ويضم مسبحًا في الهواء الطلق ومركزًا للياقة البدنية.
Voyage Hotel,"ديرة, دبي
– اعرض على الخارطة",جيد,يقع فندق أويو 114 فوياج في دبي، ويوفر خدمة الواي فاي المجانية. يقع مكان الإقامة بالقرب من العديد من المعالم السياحية الشهيرة، على بعد حوالي 200 م من مركز الغرير وحوالي 1.1 كم من مركز البرجين التوأمين...
Hi Guests Vacation Homes - Reehan 1,"وسط مدينة دبي, دبي
– اعرض على الخارطة",نقاط التعليقات,يقع Hi. في وسط حي دبي في دبي على بعد 1.4 كم من نافورة دبي وعلى بعد 1.5 كم من أكواريوم دبي وحديقة الحيوانات تحت الماء، يوفر Guests Vacation Homes - Reehan 1 أماكن إقامة مجهزة بشرفة وخدمة الواي فاي...
Masterpiece {Ease By Emaar} - Downtown Burj Khalifa & Fountain Views,"وسط مدينة دبي, دبي
– اعرض على الخارطة",رائع,تتميز هذه الشقة بمسبح في الهواء الطلق ومركز للياقة البدنية وكذلك خدمة الواي فاي المجانية. تتكون الشقة المكيفة من غرفة نوم منفصلة وحمام مع لوازم استحمام مجانية ومجفف شعر وغرفة معيشة.
أتلانتس النخلة، دبي,"نخلة جميرا, دبي
– اعرض على الخارطة",رائع,يقع أتلانتس النخلة، دبي ذو الـ 5 نجوم على جزيرة نخلة جميرا في مدينة دبي، ويتميز بشاطئ رملي خاص به وإطلالات مذهلة على الخليج العربي.
KeysPlease Holiday Homes - Shams 4 - JBR,"جميرا بيتش ريسيدينس, دبي
– اعرض على الخارطة",جيد جداً,يقع Keysplease Holiday Homes - Shams 4 - JBR في دبي على بعد 1.9 كم من الممشى في جميرا بيتش ريسيدينس وعلى بعد 7 كم من معبد Gurunanak Darbar Sikh ويوفر مكان إقامة مع خدمة الواي فاي المجانية وتكييف...
Syaj Hotel,"ديرة, دبي
– اعرض على الخارطة",نقاط التعليقات,يقع فندق Syaj على بعد 1 كم فقط من برج الساعة، ويوفر غرفًا عصريةً مُزودة بتلفزيون بشاشة مسطحة. ويضم الفندق مطعمًا يعمل على مدار الساعة. تتميز جميع الغرف العصرية بديكور دافئ بألوان غنية.
فندق وسبا أربيان كورت يارد,"بر دبي, دبي
– اعرض على الخارطة",جيد جداً,يتمتع فندق وسبا أربيان كورت يارد الهادئ بموقع مركزي قبالة متحف دبي ويعتبر مثالي للسياحة والتسوق والأعمال، فيما يمكن للضيوف الاستمتاع بخدمة الواي فاي مجاناً في جميع أنحاء الفندق.
Cassells Al Barsha Hotel by IGH,"البرشاء‎, دبي
– اعرض على الخارطة",جيد,يقدم فندق كاسيلز البرشاء تشكيلة من المأكولات الإماراتية والعالمية، ويتميز بمسبح على السطح مع إطلالات على مركز مول الإمارات للتسوق. ويُدلل المدربون وموظفو المساج المتخصصون الضيوف في النادي الصحي.
فندق فورتشن بيرل,"ديرة, دبي
– اعرض على الخارطة",جيد,يقدم فندق Fortune Pearl غرف أنيقة في وسط دبي، ويحتوي على مطعم وبار ونادي ليلي، ويمكن للضيوف الاستفادة من خدمات مركز اللياقة البدنية ومكتب الجولات السياحية.
Frank Porter - Royal Oceanic,"جميرا بيتش ريسيدينس, دبي
– اعرض على الخارطة",,على بعد دقائق من شاطئ JBR! يقع Frank Porter - Royal Oceanic في دبي. يمكن للضيوف المقيمين في هذه الشقة الوصول إلى مطبخ مجهز بالكامل. وتحتوي الشقة على تلفزيون مع قنوات الكابل.
Nasma Luxury Stays - City Walk,"الوصل‎, دبي
– اعرض على الخارطة",جيد جداً,تقع Nasma Luxury Stays - City Walk في حي الوصل في دبي، وتضم مسبح خارجي ومركز للياقة البدنية، وتتوفر خدمة الواي فاي المجانية في الشقة التي تقع على بعد 2 كم من مول سيتي ووك.
One Perfect Stay - Burj Al Nujoom,"وسط مدينة دبي, دبي
– اعرض على الخارطة",,توفر One Perfect Stay - Burj Al Nujoom مكان إقامة في دبي على بعد 1.4 كم من أكواريوم دبي وحديقة الحيوانات تحت الماء، ويقع على بعد 1.4 كم من دبي مول، ويوفر خدمة الواي فاي المجانية.
Yanjoon Holiday Homes - JBR Sadaf 1 Apartments,"جميرا بيتش ريسيدينس, دبي
– اعرض على الخارطة",,تقع Yanjoon Holiday Homes - JBR Sadaf 1 Apartments في حي جميرا بيتش ريسيدينس في دبي على بعد أقل من 1 كم من الممشى في جميرا بيتش ريسيدينس وتتميز بمسبح خارجي، يقع مكان الإقامة على بعد 8 كم من معبد...
فندق ريفيرا,"ديرة, دبي
– اعرض على الخارطة",جيد جداً,يقع هذا الفندق ذو ال4 نجوم على بعد دقيقتين سيراً على الأقدام من وسائل المواصلات التي توفر خدمة النقل إلى متحف دبي ويطل على خور دبي، ويحتوي على 3 مطاعم في الموقع، كما يوفر غرف ضيوف واسعة مزودة بتلفزيون...
New Arabian Holiday Homes - Time Place,"مرسى دبي‎, دبي
– اعرض على الخارطة",,يعتبر New Arabian Holiday Homes - Time Place مكان إقامة يقع في دبي على بعد 1.6 كم من الممشى في جميرا بيتش ريسيدينس وعلى بعد 8 كم من معبد Gurunanak Darbar Sikh، يقع برج برج العرب على بعد 11 كم من...
Frank Porter - Rimal 3,"جميرا بيتش ريسيدينس, دبي
– اعرض على الخارطة",جيد,يوفر Frank Porter - Rimal 3 مكان إقامة في دبي على بعد 200 م من الممشى في جميرا بيتش ريسيدينس وعلى بعد 8 كم من معبد Gurunanak Darbar Sikh، ويمكن للضيوف المقيمين في هذه الشقة استخدام خدمة الواي فاي...
Frank Porter - Al Alka,"ذا غرينز, دبي
– اعرض على الخارطة",,يقع Frank Porter - Al Alka في دبي على بعد 9 كم من برج برج العرب وعلى بعد 9 كم من الممشى في جميرا بيتش ريسيدينس ويتميز بمركز للياقة البدنية، يقع مكان الإقامة على بعد 12 كم من حديقة Aquaventure المائية....
Maison Privee - Palm Views,"نخلة جميرا, دبي
– اعرض على الخارطة",,يقع Maison Privee - Palm Views في دبي، ويوفر أماكن إقامة مع شرفة وخدمة الواي فاي المجانية. ويقع مكان الإقامة على بعد 8 كم من الممشى في جميرا بيتش ريسيدينس، ويوفر تراس.
"Time Place Tower, Dubai Marina","مرسى دبي‎, دبي
– اعرض على الخارطة",جيد,يقع تايم بليس تاور، دبي مارينا في دبي، ويضم حوض استحمام ساخن. ويقع مكان الإقامة على بعد 2.1 كم من الممشى في جميرا بيتش ريسيدينس.
OYO 157 Al Khaima Hotel,"ديرة, دبي
– اعرض على الخارطة",نقاط التعليقات,يقع فندق أويو 157 الخيمة في دبي، ويوفر خدمة الواي فاي المجانية. يقع الفندق على بعد حوالي 6 كم من المسجد الكبير، كما يبعد 9 كم عن مركز دبي التجاري العالمي. ويقع مكان الإقامة في حي دبي القديم.
Maison Privee - Burj Khalifa Community,"وسط مدينة دبي, دبي
– اعرض على الخارطة",جيد,يقع Maison Privee - Burj Khalifa Community في دبي على بعد 50 م من نافورة دبي وعلى بعد 2.2 كم من برج خليفة وعلى بعد 2.2 كم من أكواريوم دبي وحديقة الحيوانات تحت الماء، ويقع مكان الإقامة المكيف على بعد...
Frank Porter - Burj Views,"وسط مدينة دبي, دبي
– اعرض على الخارطة",,يتمتع Frank Porter - Burj Views بموقع متميز في وسط مدينة دبي، ويوفر فناءً. ويقع مكان الإقامة المكيف على بعد 1.2 كم من نافورة دبي، تحتوي هذه الشقة على غرفة نوم واحدة وتلفزيون ومطبخ.
Yanjoon Holiday Homes - Burj Vista Apartments,"وسط مدينة دبي, دبي
– اعرض على الخارطة",استثنائي,يتمتع Yanjoon Holiday Homes - Burj Vista Apartments بموقع جيد في وسط دبي، ويوفر إطلالات على البحر ويضم مسبحًا في الهواء الطلق وحديقة.
شقة في برج اوشين هايتس - كي أن هومز,"مرسى دبي‎, دبي
– اعرض على الخارطة",جيد جداً,يقع Key One Homes-Ocean Heights Tower في مرسى دبي، ويضم مسبحاً في الهواء الطلق ومركزاً للياقة البدنية. كما يوفر مكان الإقامة هذا ذو الخدمة الذاتية خدمة الواي فاي المجانية.
فندق مينا بلازا البرشاء,"البرشاء‎, دبي
– اعرض على الخارطة",رائع,يقع فندق مينا بلازا البرشاء في دبي، وعلى بعد 5 كم من برج العرب، كما يوفر مسبح خارجي. ويضم أيضاً مركز للياقة البدنية وتراس وصالة مشتركة. فيما يقع في حي البرشاء.
Hometown Apartments - Adorable furnished studio at a very competitive rate,"Dubai Production City , دبي
– اعرض على الخارطة",,يقع Hometown Apartments - Adorable furnished studio بسعر تنافسية في دبي على بعد 7 كم من دبي أوتودروم، ويوفر مكان إقامة مكيف مع شرفة وخدمة الواي فاي المجانية.
Ghaya Grand Hotel,"Dubai Production City , دبي
– اعرض على الخارطة",رائع,يقع فندق غايا جراند في المنطقة العالمية للإنتاج الإعلامي، ويمكن للضيوف الاستمتاع بخدمة الواي فاي مجانًا في جميع أنحاء مكان الإقامة، كما يوفر مسبح و5 مطاعم.
Elegant Apartment with a Full View of Dubai,"منطقة المركز التجاري, دبي
– اعرض على الخارطة",,تقع Elegant Apartment with a Full View of Dubai على بعد 3.6 كم من مركز دبي التجاري العالمي وعلى بعد 3.9 كم من دبي مول، وتقع في مركز التجارة في دبي، يقع مكان الإقامة على بعد 4.3 كم من برج خليفة.
LUX | Contemporary Residence opposite Dubai Opera,"وسط مدينة دبي, دبي
– اعرض على الخارطة",,يقع LUX | Contemporary Residence قبالة أوبرا دبي، ويوفر أماكن إقامة مع شرفة وخدمة الواي فاي المجانية. تحتوي هذه الشقة على مسبح في الهواء الطلق.
Africana Hotel,"ديرة, Dubai
– اعرض على الخارطة",نقاط التعليقات,يقع فندق Africana في منطقة ديرة، ويقدم غرفًا مفروشة ببساطة مع خدمة الواي فاي المجانية، ويمكن ترتيب خدمات التنظيف الجاف وكي الملابس عند الطلب.
AC Pearl Holiday - Marina and sea view one bedroom apartment,"مرسى دبي‎, دبي
– اعرض على الخارطة",,تقع AC Pearl Holiday - Marina and sea view apartment في دبي على بعد 2.4 كم من الممشى في جميرا بيتش ريسيدينس و7 كم من برج برج العرب، وتوفر مكان إقامة مع خدمة الواي فاي المجانية وتكييف ومسبح في الهواء...
Kennedy Towers - Princess Tower,"مرسى دبي‎, دبي
– اعرض على الخارطة",,يوفر Kennedy Towers - Princess Tower مكان إقامة في دبي على بعد 2.4 كم من الممشى في جميرا بيتش ريسيدينس وعلى بعد 3 كم من دبي مارينا مول ويوفر إطلالات على البحر، تتوفر خدمة الواي فاي المجانية في الشقة،...
Yallarent DIFC Park Towers Apartments,"دبي
– اعرض على الخارطة",,تقع شقق Yalalent DIFC Park Towers في دبي في منطقة إمارة دبي وتوفر تراس وإطلالات على المدينة، ويمكن للضيوف الاستفادة من شرفة ومسبح خارجي، تتكون الشقة المكيفة من غرفتي نوم وغرفة معيشة ومطبخ مجهز بالكامل...
Grayton Hotel,"بر دبي, دبي
– اعرض على الخارطة",,يقع فندق Grayton في دبي، ويضم مركزًا للياقة البدنية وتراسًا ويوفر خدمة الواي فاي المجانية. يقع مكان الإقامة على بعد 3.3 كم من مركز دبي التجاري العالمي و3.4 كم من المسجد الكبير.
★Wake Up Looking At The Iconic Burj Khalifa★,"وسط مدينة دبي, دبي
– اعرض على الخارطة",رائع,توفر إطلالات على البحيرة،Wake Up. وتطل على برج خليفة الشهير.يوفر مكان الإقامة هذا أماكن إقامة مع شرفة وآلة لصنع القهوة على بعد حوالي 1.9 كم من برج خليفة. يقع مكان الإقامة على بعد 2.4 كم من دبي مول.
Frank Porter - Marina Tower,"مرسى دبي‎, دبي
– اعرض على الخارطة",,يقع Frank Porter - Marina Tower في منطقة مرسى دبي في دبي على بعد 2.3 كم من الممشى في جميرا بيتش ريسيدينس وعلى بعد 8 كم من معبد Gurunanak Darbar Sikh وعلى بعد 12 كم من برج برج العرب، وتقع حديقة...
Frank Porter - Marina Torch,"مرسى دبي‎, دبي
– اعرض على الخارطة",,يقع Frank Porter - Marina Torch في دبي. ويوفر مكان الإقامة خدمة الواي فاي المجانية. تحتوي الشقة من غرفتي نوم على غرفة معيشة مع تلفزيون مع قنوات الكابل ومطبخ مجهز بالكامل مع فرن.
أرمادا بلو باي,"أبراج بحيرة جميرا, دبي
– اعرض على الخارطة",جيد,يقع أرمادا بلو باي في أبراج بحيرة جميرا، ويوفر حمام سباحة في الهواء الطلق وسبا ومركز صحي. وتتوفر خدمة الواي فاي المجانية في المناطق العامة.
AT HOME - Apartment Dubai Marina Bay Central West Tower - Marina View,"مرسى دبي‎, دبي
– اعرض على الخارطة",ممتاز,تقع Apartment Dubai Marina Bay Central West Tower - Marina View في دبي على بعد حوالي 1 كم من برج برج العرب وتتميز بإطلالات على البحيرة، ويوفر مكان الإقامة خدمة الواي فاي المجانية، كما يضم مسبحًا في...
فندق ميركيور جولد,"بر دبي, دبي
– اعرض على الخارطة",جيد,يضم Mercure Gold Hotel Al Mina Road Dubai مسبحاً على السطح مع إطلالة بانورامية على المدينة. كما يوفر غرفاً وأجنحة عصرية بالقرب من شارع الشيخ زايد وشاطئ الجميرا.
Large Size Room In Dubai Marina For One Man 406.1,"الشاطئ والساحل, دبي
– اعرض على الخارطة",,غرفة كبيرة الحجم. في مرسى دبي. يوفر For One Man 406.1 in Dubai مكان إقامة مع خدمة الواي فاي المجانية على بعد 3.9 كم من الممشى في جميرا بيتش ريسيدينس وعلى بعد 7 كم من برج برج العرب وعلى بعد 9 كم من...
Dream City Hotel Apartments,"ديرة, دبي
– اعرض على الخارطة",جيد جداً,يقع Dream City Hotel Apartments على بعد 6 كم من المسجد الكبير و7 كم من مركز دبي التجاري العالمي في دبي، ويوفر مكان إقامة مع خدمة الواي فاي المجانية وتلفزيون بشاشة مسطحة.
★ Designer Apartment | Right on the Waterfront,"مرسى دبي‎, دبي
– اعرض على الخارطة",جيد جداً,تقع شقة في وسط مدينة دبي على بعد 2.6 كم من الممشى في جميرا بيتش ريسيدينس وعلى بعد 8 كم من برج برج العرب، يقع مباشرة على الواجهة البحرية ويوفر تكييف الهواء.
Three Bedroom Apartment - Iris Blue,"مرسى دبي‎, دبي
– اعرض على الخارطة",,تتمتع Three Bedroom Apartment - Iris Blue بموقع في دبي على بعد 2.8 كم من الممشى في جميرا بيتش ريسيدينس وعلى بعد 8 كم من برج برج العرب، يقع مكان الإقامة على بعد 9 كم من معبد Gurunanak Darbar Sikh وعلى...
Al Habtoor Polo Resort,"دبي
– اعرض على الخارطة",جيد,يقع Al Habtoor Polo Resort في دبي وسط 4 ملاعب بولو خضراء مورقة، كما يقع ضمن مسافة 25 دقيقة بالسيارة من وسط مدينة دبي، وعلى بعد 35 دقيقة بالسيارة من مطار دبي الدولي، فيما تتوفر خدمة الواي فاي مجانًا في...
نجوم الإمارات للشقق الفندقية,"القصيص, دبي
– اعرض على الخارطة",جيد,توفر هذ الشقق الفندقية Emirates Stars Hotel Apartment إقامة للضيوف المسافرين بغرف الأعمال والترفيه في حي القصيص، وتتميز بغرف نوم رئيسية أنيقة ومكيفة مع مناطق واسعة للمعيشة/لتناول الطعام مع مرافق حديثة...
Frank Porter - Al Majara,"مرسى دبي‎, دبي
– اعرض على الخارطة",,يقع Frank Porter - Al Majara في دبي على بعد 1.2 كم من الممشى في جميرا بيتش ريسيدينس وعلى بعد 7 كم من معبد Gurunanak Darbar Sikh ويوفر مكان إقامة مع خدمة الواي فاي المجانية، ويتوفر للضيوف فناء خاص.
شقق اسباس هوليدي هومز -  اليت 9-1,"دبي
– اعرض على الخارطة",,يقع Espace Holiday Homes - Elite 9-13 في دبي في منطقة إمارة دبي، ويضم شرفة. توفر هذه الشقة مكان إقامة مكيف مع خدمة الواي فاي المجانية. تحتوي الشقة على غرفتي نوم ومطبخ مع فرن وميكروويف، فضلاً عن غلاية....
Frank Porter - Arabian Ranches,"المرابع العربية, دبي
– اعرض على الخارطة",,يوفر Frank Porter - Arabian Ranches مكان إقامة في دبي على بعد 7 كم من دبي أوتودروم، ويقع مكان الإقامة المكيف على بعد 19 كم من برج برج العرب، تحتوي الفيلا على 4 غرف نوم ومطبخ مجهز بالكامل مع غسالة صحون...
Deluxe 2 bedroom apartment Dubai Marina View,"مرسى دبي‎, دبي
– اعرض على الخارطة",,يقع Deluxe 2 bedroom apartment Dubai Marina View في دبي على بعد 1.5 كم من الممشى في جميرا بيتش ريسيدينس ويوفر مكان إقامة مع خدمة الواي فاي المجانية وتكييف الهواء ومسبح خارجي، توفر هذه الشقة مكان إقامة...
Frank Porter – Shams 4,"جميرا بيتش ريسيدينس, دبي
– اعرض على الخارطة",جيد جداً,يقع فرانك بورتر - شمس 4 في منطقة جميرا بيتش ريسيدينس في دبي على بعد 1.8 كم من الممشى في جميرا بيتش ريسيدينس وعلى بعد 8 كم من معبد Gurunanak Darbar Sikh وعلى بعد 15 كم من برج برج العرب، يقع مكان...
HiGuests Vacation Homes - Burj Views East,"وسط مدينة دبي, دبي
– اعرض على الخارطة",,يقع Higuests Vacation Homes - Burj Views East في دبي على بعد أقل من 1 كم من أكواريوم دبي وحديقة الحيوانات تحت الماء ويوفر غرفة معيشة مع تلفزيون بشاشة مسطحة وخدمة الواي فاي المجانية.
OYO 146 Home Majestine,"الخليج التجاري‎, دبي
– اعرض على الخارطة",نقاط التعليقات,يقع OYO 146 Home Majestine على بعد 3.4 كم من برج خليفة وعلى بعد 3.7 كم من نافورة دبي وعلى بعد 3.8 كم من دبي مول، ويوفر مكان إقامة في دبي، ويقع مكان الإقامة على بعد 3.9 كم من أكواريوم دبي وحديقة...
Elite Royal Apartment - Burj Residences Tower 6,"وسط مدينة دبي, دبي
– اعرض على الخارطة",ممتاز,تتميز شقة Elite Royal بتصميم فني فاخر، وتوفر إطلالة كاملة مباشرة على برج خليفة ونافورة الرقص من غرفة المعيشة والشرفة وغرفة النوم الرئيسية، وتقع بجوار أكبر مول في العالم مباشرةً، وتبعُد مسافة 15 دقيقة...
Frank Porter - Shoreline Apartments,"نخلة جميرا, دبي
– اعرض على الخارطة",نقاط التعليقات,تقع Frank Porter - Shoreline Apartments في حي نخلة جميرا في دبي وتوفر مركز للياقة البدنية، وتتوفر خدمة الواي فاي المجانية في هذه الشقة التي تقع على بعد 6 كم من منتزه أكوافنتشر المائي وعلى بعد 8 كم من...
GuestReady - Liberty House Tower,"طريق الشيخ زايد, دبي
– اعرض على الخارطة",,يقع Gurestready - Liberty House Tower على بعد 4 كم من برج خليفة وعلى بعد 4.2 كم من مركز دبي التجاري العالمي، ويوفر مكان إقامة في دبي، توفر هذه الشقة مكان إقامة مكيف مع تراس.
بونينغتون أبراج بحيرات جميرا,"أبراج بحيرة جميرا, دبي
– اعرض على الخارطة",جيد جداً,يقدم هذا الفندق الفاخر مأكولات رائعة، ويضم التراس الترفيهي بالطابق 11 جيم أكثر حداثة ومسبح لا متناهي يوفر إطلالات خلابة على أفق ناطحات السحاب في مدينة دبي.
